X,Y,Z
254.822798,-340.153368,752.000000
255.991710,-340.153368,752.000000
257.160622,-340.153368,752.000000
258.329534,-340.153368,752.000000
259.498446,-340.153368,752.000000
260.320725,-339.701036,751.000000
261.488083,-339.701036,751.000000
262.305699,-339.248705,750.000000
263.120207,-338.796373,749.000000
204.146114,-334.476684,742.000000
205.299482,-334.476684,742.000000
206.452850,-334.476684,742.000000
207.886010,-334.927461,743.000000
209.040933,-334.927461,743.000000
210.195855,-334.927461,743.000000
211.350777,-334.927461,743.000000
212.505699,-334.927461,743.000000
213.660622,-334.927461,743.000000
215.104663,-335.378238,744.000000
216.261140,-335.378238,744.000000
217.125389,-334.927461,743.000000
218.280311,-334.927461,743.000000
219.435233,-334.927461,743.000000
220.590155,-334.927461,743.000000
221.745078,-334.927461,743.000000
223.200000,-335.378238,744.000000
224.054922,-334.927461,743.000000
225.209845,-334.927461,743.000000
226.364767,-334.927461,743.000000
227.519689,-334.927461,743.000000
228.674611,-334.927461,743.000000
229.829534,-334.927461,743.000000
231.295337,-335.378238,744.000000
232.451813,-335.378238,744.000000
233.922280,-335.829016,745.000000
235.080311,-335.829016,745.000000
236.238342,-335.829016,745.000000
237.715026,-336.279793,746.000000
238.874611,-336.279793,746.000000
240.034197,-336.279793,746.000000
241.517098,-336.730570,747.000000
242.678238,-336.730570,747.000000
244.165803,-337.181347,748.000000
245.656477,-337.632124,749.000000
247.150259,-338.082902,750.000000
248.316062,-338.082902,750.000000
249.814508,-338.533679,751.000000
251.316062,-338.984456,752.000000
252.484974,-338.984456,752.000000
253.653886,-338.984456,752.000000
254.822798,-338.984456,752.000000
255.991710,-338.984456,752.000000
257.160622,-338.984456,752.000000
258.329534,-338.984456,752.000000
259.498446,-338.984456,752.000000
260.320725,-338.533679,751.000000
261.488083,-338.533679,751.000000
262.305699,-338.082902,750.000000
263.120207,-337.632124,749.000000
264.284456,-337.632124,749.000000
265.094301,-337.181347,748.000000
266.256995,-337.181347,748.000000
267.062176,-336.730570,747.000000
268.223316,-336.730570,747.000000
269.384456,-336.730570,747.000000
201.839378,-333.323316,742.000000
202.992746,-333.323316,742.000000
204.146114,-333.323316,742.000000
205.299482,-333.323316,742.000000
206.731088,-333.772539,743.000000
207.886010,-333.772539,743.000000
209.040933,-333.772539,743.000000
210.195855,-333.772539,743.000000
211.350777,-333.772539,743.000000
212.505699,-333.772539,743.000000
213.948187,-334.221762,744.000000
215.104663,-334.221762,744.000000
215.970466,-333.772539,743.000000
217.125389,-333.772539,743.000000
218.280311,-333.772539,743.000000
219.435233,-333.772539,743.000000
