X,Y,Z
108.511088,-120.983627,401.200000
109.297927,-121.164560,401.800000
110.031917,-121.285181,402.200000
110.822176,-121.466114,402.800000
111.724974,-121.767668,403.800000
112.630881,-122.069223,404.800000
113.427979,-122.250155,405.400000
114.226943,-122.431088,406.000000
115.084352,-122.672332,406.800000
115.944249,-122.913575,407.600000
116.692228,-123.034197,408.000000
117.613990,-123.335751,409.000000
118.423212,-123.516684,409.600000
119.234301,-123.697617,410.200000
119.930363,-123.757927,410.400000
120.862073,-124.059482,411.400000
121.501554,-124.059482,411.400000
122.437927,-124.361036,412.400000
123.198342,-124.481658,412.800000
124.080000,-124.722902,413.600000
124.843523,-124.843523,414.000000
125.729534,-125.084767,414.800000
126.618031,-125.326010,415.600000
127.447772,-125.506943,416.200000
128.279378,-125.687876,416.800000
129.236580,-125.989430,417.800000
130.196891,-126.290984,418.800000
131.035337,-126.471917,419.400000
132.001244,-126.773472,420.400000
132.970259,-127.075026,421.400000
133.815544,-127.255959,422.000000
134.790155,-127.557513,423.000000
135.703834,-127.798756,423.800000
136.684352,-128.100311,424.800000
137.603316,-128.341554,425.600000
138.589741,-128.643109,426.600000
139.644560,-129.004974,427.800000
140.637513,-129.306528,428.800000
141.765389,-129.728705,430.200000
142.897617,-130.150881,431.600000
143.901140,-130.452435,432.600000
145.108290,-130.934922,434.200000
146.320415,-131.417409,435.800000
147.537513,-131.899896,437.400000
148.691813,-132.322073,438.800000
149.782383,-132.683938,440.000000
85.862176,-116.700000,389.000000
86.511295,-116.760000,389.200000
87.205803,-116.880000,389.600000
87.901554,-117.000000,390.000000
88.553161,-117.060000,390.200000
89.251088,-117.180000,390.600000
89.950259,-117.300000,391.000000
90.696995,-117.480000,391.600000
91.398964,-117.600000,392.000000
92.055233,-117.660000,392.200000
92.712124,-117.720000,392.400000
93.417202,-117.840000,392.800000
94.027772,-117.840000,392.800000
94.686528,-117.900000,393.000000
95.442902,-118.080000,393.600000
96.152332,-118.200000,394.000000
96.863005,-118.320000,394.400000
97.624352,-118.500000,395.000000
98.288083,-118.560000,395.200000
99.052539,-118.740000,395.800000
99.869223,-118.980000,396.600000
100.536373,-119.040000,396.800000
101.306114,-119.220000,397.400000
102.077720,-119.400000,398.000000
102.747979,-119.460000,398.200000
103.418860,-119.520000,398.400000
104.247047,-119.760000,399.200000
104.867565,-119.760000,399.200000
105.593782,-119.880000,399.600000
106.268083,-119.940000,399.800000
106.996477,-120.060000,400.200000
107.726114,-120.180000,400.600000
108.402902,-120.240000,400.800000
109.243523,-120.480000,401.600000
109.922487,-120.540000,401.800000
110.767150,-120.780000,402.600000
111.669637,-121.080000,403.600000
112.463938,-121.260000,404.200000
113.316062,-121.500000,405.000000
114.170674,-121.740000,405.800000
115.027772,-121.980000,406.600000
115.887358,-122.220000,407.400000
116.692228,-122.400000,408.000000
117.613990,-122.700000,409.000000
118.365389,-122.820000,409.400000
119.234301,-123.060000,410.200000
119.930363,-123.120000,410.400000
120.803316,-123.360000,411.200000
121.619689,-123.540000,411.800000
122.378549,-123.660000,412.200000
123.258031,-123.900000,413.000000
124.080000,-124.080000,413.600000
124.903834,-124.260000,414.200000
125.729534,-124.440000,414.800000
126.618031,-124.680000,415.600000
127.325285,-124.740000,415.800000
128.279378,-125.040000,416.800000
129.236580,-125.340000,417.800000
130.196891,-125.640000,418.800000
131.097824,-125.880000,419.600000
132.001244,-126.120000,420.400000
132.970259,-126.420000,421.400000
133.815544,-126.600000,422.000000
134.726425,-126.840000,422.800000
135.703834,-127.140000,423.800000
136.620000,-127.380000,424.600000
137.603316,-127.680000,425.600000
138.654715,-128.040000,426.800000
139.644560,-128.340000,427.800000
140.637513,-128.640000,428.800000
141.699482,-129.000000,430.000000
142.897617,-129.480000,431.600000
143.834611,-129.720000,432.400000
145.041451,-130.200000,434.000000
146.253264,-130.680000,435.600000
147.402591,-131.100000,437.000000
148.624041,-131.580000,438.600000
149.714301,-131.940000,439.800000
150.945078,-132.420000,441.400000
85.169845,-115.975959,388.600000
85.862176,-116.095337,389.000000
86.555751,-116.214715,389.400000
87.205803,-116.274404,389.600000
87.856477,-116.334093,389.800000
88.598549,-116.513161,390.400000
89.251088,-116.572850,390.600000
89.950259,-116.692228,391.000000
90.696995,-116.871295,391.600000
91.352332,-116.930984,391.800000
92.055233,-117.050363,392.200000
92.712124,-117.110052,392.400000
93.369637,-117.169741,392.600000
94.075648,-117.289119,393.000000
94.734715,-117.348808,393.200000
95.442902,-117.468187,393.600000
96.201140,-117.647254,394.200000
96.813886,-117.647254,394.200000
97.624352,-117.886010,395.000000
98.337824,-118.005389,395.400000
99.052539,-118.124767,395.800000
99.869223,-118.363523,396.600000
100.536373,-118.423212,396.800000
101.306114,-118.602280,397.400000
102.026425,-118.721658,397.800000
102.747979,-118.841036,398.200000
103.366943,-118.841036,398.200000
104.247047,-119.139482,399.200000
104.867565,-119.139482,399.200000
105.540933,-119.199171,399.400000
106.321244,-119.378238,400.000000
106.943005,-119.378238,400.000000
107.672332,-119.497617,400.400000
108.456995,-119.676684,401.000000
109.080311,-119.676684,401.000000
109.977202,-119.975130,402.000000
110.712124,-120.094508,402.400000
111.558964,-120.333264,403.200000
112.408290,-120.572021,404.000000
113.204145,-120.751088,404.600000
114.170674,-121.109223,405.800000
115.027772,-121.347979,406.600000
115.887358,-121.586736,407.400000
116.692228,-121.765803,408.000000
117.613990,-122.064249,409.000000
118.365389,-122.183627,409.400000
119.234301,-122.422383,410.200000
119.988808,-122.541762,410.600000
120.744560,-122.661140,411.000000
121.560622,-122.840207,411.600000
122.378549,-123.019275,412.200000
123.258031,-123.258031,413.000000
124.080000,-123.437098,413.600000
125.024456,-123.735544,414.600000
125.668912,-123.735544,414.600000
126.618031,-124.033990,415.600000
127.386528,-124.153368,416.000000
128.279378,-124.392124,416.800000
129.236580,-124.690570,417.800000
130.196891,-124.989016,418.800000
131.097824,-125.227772,419.600000
131.938446,-125.406839,420.200000
132.907150,-125.705285,421.200000
133.752124,-125.884352,421.800000
134.790155,-126.242487,423.000000
135.639793,-126.421554,423.600000
136.684352,-126.779689,424.800000
137.603316,-127.018446,425.600000
138.654715,-127.376580,426.800000
139.579275,-127.615337,427.600000
140.703109,-128.033161,429.000000
141.765389,-128.391295,430.200000
142.831399,-128.749430,431.400000
143.834611,-129.047876,432.400000
145.041451,-129.525389,434.000000
146.186114,-129.943212,435.400000
147.335130,-130.361036,436.800000
148.556269,-130.838549,438.400000
149.714301,-131.256373,439.800000
150.739896,-131.554819,440.800000
152.043420,-132.092021,442.600000
83.918549,-115.312539,388.400000
84.565803,-115.371917,388.600000
85.213679,-115.431295,388.800000
85.818031,-115.431295,388.800000
86.555751,-115.609430,389.400000
87.250570,-115.728187,389.800000
87.856477,-115.728187,389.800000
88.643938,-115.965699,390.600000
89.251088,-115.965699,390.600000
89.950259,-116.084456,391.000000
90.696995,-116.262591,391.600000
91.398964,-116.381347,392.000000
92.055233,-116.440725,392.200000
92.712124,-116.500104,392.400000
93.464767,-116.678238,393.000000
94.123523,-116.737617,393.200000
94.782902,-116.796995,393.400000
95.442902,-116.856373,393.600000
96.201140,-117.034508,394.200000
96.961244,-117.212642,394.800000
97.673782,-117.331399,395.200000
98.337824,-117.390777,395.400000
99.052539,-117.509534,395.800000
99.818860,-117.687668,396.400000
100.587047,-117.865803,397.000000
101.306114,-117.984560,397.400000
102.026425,-118.103316,397.800000
102.747979,-118.222073,398.200000
103.366943,-118.222073,398.200000
104.142591,-118.400207,398.800000
104.867565,-118.518964,399.200000
105.540933,-118.578342,399.400000
106.214922,-118.637720,399.600000
106.943005,-118.756477,400.000000
107.618549,-118.815855,400.200000
108.348808,-118.934611,400.600000
109.080311,-119.053368,401.000000
109.867772,-119.231503,401.600000
110.602073,-119.350259,402.000000
111.448290,-119.587772,402.800000
112.352642,-119.884663,403.800000
113.260104,-120.181554,404.800000
114.114404,-120.419067,405.600000
114.971192,-120.656580,406.400000
115.887358,-120.953472,407.400000
116.635026,-121.072228,407.800000
117.441451,-121.250363,408.400000
118.365389,-121.547254,409.400000
119.234301,-121.784767,410.200000
119.988808,-121.903523,410.600000
120.803316,-122.081658,411.200000
121.560622,-122.200415,411.600000
122.378549,-122.378549,412.200000
123.317720,-122.675440,413.200000
124.080000,-122.794197,413.600000
124.843523,-122.912953,414.000000
125.668912,-123.091088,414.600000
126.618031,-123.387979,415.600000
127.386528,-123.506736,416.000000
128.279378,-123.744249,416.800000
129.174715,-123.981762,417.600000
130.134715,-124.278653,418.600000
131.097824,-124.575544,419.600000
131.875648,-124.694301,420.000000
132.907150,-125.050570,421.200000
133.752124,-125.228705,421.800000
134.726425,-125.525596,422.800000
135.639793,-125.763109,423.600000
136.684352,-126.119378,424.800000
137.667979,-126.416269,425.800000
138.654715,-126.713161,426.800000
139.579275,-126.950674,427.600000
140.703109,-127.366321,429.000000
141.765389,-127.722591,430.200000
142.831399,-128.078860,431.400000
143.834611,-128.375751,432.400000
144.974611,-128.791399,433.800000
146.186114,-129.266425,435.400000
147.335130,-129.682073,436.800000
148.420725,-130.038342,438.000000
149.646218,-130.513368,439.600000
150.739896,-130.869637,440.800000
151.837306,-131.225907,442.000000
153.145492,-131.760311,443.800000
82.625907,-114.590674,388.000000
83.271917,-114.649741,388.200000
83.918549,-114.708808,388.400000
84.565803,-114.767876,388.600000
85.213679,-114.826943,388.800000
85.862176,-114.886010,389.000000
86.555751,-115.004145,389.400000
87.250570,-115.122280,389.800000
87.901554,-115.181347,390.000000
88.643938,-115.358549,390.600000
89.251088,-115.358549,390.600000
89.996269,-115.535751,391.200000
90.650674,-115.594819,391.400000
91.445596,-115.831088,392.200000
92.102176,-115.890155,392.400000
92.806632,-116.008290,392.800000
93.464767,-116.067358,393.000000
94.123523,-116.126425,393.200000
94.782902,-116.185492,393.400000
95.539896,-116.362694,394.000000
96.201140,-116.421762,394.200000
96.961244,-116.598964,394.800000
97.673782,-116.717098,395.200000
98.337824,-116.776166,395.400000
99.052539,-116.894301,395.800000
99.818860,-117.071503,396.400000
100.587047,-117.248705,397.000000
101.255130,-117.307772,397.200000
102.026425,-117.484974,397.800000
102.747979,-117.603109,398.200000
103.366943,-117.603109,398.200000
104.194819,-117.839378,399.000000
104.867565,-117.898446,399.200000
105.540933,-117.957513,399.400000
106.161762,-117.957513,399.400000
106.889534,-118.075648,399.800000
107.564767,-118.134715,400.000000
108.294715,-118.252850,400.400000
109.025907,-118.370984,400.800000
109.813057,-118.548187,401.400000
110.547047,-118.666321,401.800000
111.392953,-118.902591,402.600000
112.241347,-119.138860,403.400000
113.148187,-119.434197,404.400000
114.001865,-119.670466,405.200000
114.914611,-119.965803,406.200000
115.716684,-120.143005,406.800000
116.635026,-120.438342,407.800000
117.441451,-120.615544,408.400000
118.365389,-120.910881,409.400000
