X,Y,Z
32.026010,-142.724611,447.900000
32.722228,-142.724611,447.900000
33.410984,-142.692746,447.800000
34.122280,-142.756477,448.000000
34.834197,-142.820207,448.200000
35.554663,-142.915803,448.500000
36.251813,-142.915803,448.500000
36.965440,-142.979534,448.700000
37.662902,-142.979534,448.700000
38.351813,-142.947668,448.600000
0.000000,-142.535751,449.500000
0.698394,-142.472332,449.300000
1.397409,-142.535751,449.500000
2.095648,-142.504041,449.400000
2.792953,-142.440622,449.200000
3.491192,-142.440622,449.200000
4.189430,-142.440622,449.200000
4.887668,-142.440622,449.200000
5.587150,-142.472332,449.300000
6.285544,-142.472332,449.300000
6.983938,-142.472332,449.300000
7.682332,-142.472332,449.300000
8.378860,-142.440622,449.200000
9.079119,-142.472332,449.300000
9.773161,-142.408912,449.100000
10.468912,-142.377202,449.000000
11.169326,-142.408912,449.100000
11.872694,-142.472332,449.300000
12.571088,-142.472332,449.300000
13.263575,-142.408912,449.100000
13.952332,-142.313782,448.800000
14.653212,-142.345492,448.900000
15.361244,-142.440622,449.200000
16.052332,-142.377202,449.000000
16.742798,-142.313782,448.800000
17.436528,-142.282073,448.700000
18.117824,-142.155233,448.300000
18.814663,-142.155233,448.300000
19.511503,-142.155233,448.300000
20.212850,-142.186943,448.400000
20.909845,-142.186943,448.400000
21.602021,-142.155233,448.300000
22.293886,-142.123523,448.200000
22.985440,-142.091813,448.100000
23.697824,-142.186943,448.400000
24.394819,-142.186943,448.400000
25.080622,-142.123523,448.200000
25.771554,-142.091813,448.100000
26.479896,-142.155233,448.300000
27.170674,-142.123523,448.200000
27.861140,-142.091813,448.100000
28.557668,-142.091813,448.100000
29.254197,-142.091813,448.100000
29.950725,-142.091813,448.100000
30.647254,-142.091813,448.100000
31.343782,-142.091813,448.100000
32.040311,-142.091813,448.100000
32.729534,-142.060104,448.000000
33.433368,-142.091813,448.100000
34.152746,-142.186943,448.400000
34.849741,-142.186943,448.400000
35.554663,-142.218653,448.500000
36.267979,-142.282073,448.700000
36.965440,-142.282073,448.700000
37.662902,-142.282073,448.700000
38.360363,-142.282073,448.700000
39.066528,-142.313782,448.800000
39.728705,-142.186943,448.400000
40.434715,-142.218653,448.500000
-0.698860,-141.868601,449.600000
0.000000,-141.868601,449.600000
0.698860,-141.868601,449.600000
1.397098,-141.805492,449.400000
2.096114,-141.837047,449.500000
2.794819,-141.837047,449.500000
3.492746,-141.805492,449.400000
4.191295,-141.805492,449.400000
4.889845,-141.805492,449.400000
5.588394,-141.805492,449.400000
6.291140,-141.900155,449.700000
6.988601,-141.868601,449.600000
7.685751,-141.837047,449.500000
8.384456,-141.837047,449.500000
9.083161,-141.837047,449.500000
9.784041,-141.868601,449.600000
10.482902,-141.868601,449.600000
11.179275,-141.837047,449.500000
11.875337,-141.805492,449.400000
12.562694,-141.679275,449.000000
13.257668,-141.647720,448.900000
13.958549,-141.679275,449.000000
14.656477,-141.679275,449.000000
15.354404,-141.679275,449.000000
16.052332,-141.679275,449.000000
16.739067,-141.584611,448.700000
17.432642,-141.553057,448.600000
18.121865,-141.489948,448.400000
18.818860,-141.489948,448.400000
19.515855,-141.489948,448.400000
20.217358,-141.521503,448.500000
20.905181,-141.458394,448.300000
21.592383,-141.395285,448.100000
22.288912,-141.395285,448.100000
22.980311,-141.363731,448.000000
23.692539,-141.458394,448.300000
24.400259,-141.521503,448.500000
25.080622,-141.426839,448.200000
25.783057,-141.458394,448.300000
26.479896,-141.458394,448.300000
27.182798,-141.489948,448.400000
27.873575,-141.458394,448.300000
28.564041,-141.426839,448.200000
29.254197,-141.395285,448.100000
29.957409,-141.426839,448.200000
30.647254,-141.395285,448.100000
31.343782,-141.395285,448.100000
32.047461,-141.426839,448.200000
32.736839,-141.395285,448.100000
33.448290,-141.458394,448.300000
34.152746,-141.489948,448.400000
34.857513,-141.521503,448.500000
35.570518,-141.584611,448.700000
36.292228,-141.679275,449.000000
36.998394,-141.710829,449.100000
37.696477,-141.710829,449.100000
38.377461,-141.647720,448.900000
39.066528,-141.616166,448.800000
39.764145,-141.616166,448.800000
40.443731,-141.553057,448.600000
41.122694,-141.489948,448.400000
41.810363,-141.458394,448.300000
42.469275,-141.332176,447.900000
43.155855,-141.300622,447.800000
-1.398342,-141.232539,449.800000
-0.698860,-141.169741,449.600000
0.000000,-141.169741,449.600000
0.698705,-141.138342,449.500000
1.397409,-141.138342,449.500000
2.096114,-141.138342,449.500000
2.795440,-141.169741,449.600000
3.493523,-141.138342,449.500000
4.191295,-141.106943,449.400000
4.890933,-141.138342,449.500000
5.589637,-141.138342,449.500000
6.292539,-141.232539,449.800000
6.994819,-141.295337,450.000000
7.692591,-141.263938,449.900000
8.393782,-141.295337,450.000000
9.087202,-141.201140,449.700000
9.784041,-141.169741,449.600000
10.482902,-141.169741,449.600000
11.184249,-141.201140,449.700000
11.877979,-141.138342,449.500000
12.573886,-141.106943,449.400000
13.263575,-141.012746,449.100000
13.961658,-141.012746,449.100000
14.653212,-140.949948,448.900000
15.347565,-140.918549,448.800000
16.045181,-140.918549,448.800000
16.735337,-140.855751,448.600000
17.432642,-140.855751,448.600000
18.129948,-140.855751,448.600000
18.823057,-140.824352,448.500000
19.520207,-140.824352,448.500000
20.212850,-140.792953,448.400000
20.909845,-140.792953,448.400000
21.597202,-140.730155,448.200000
22.298860,-140.761554,448.300000
22.990570,-140.730155,448.200000
23.708394,-140.855751,448.600000
24.394819,-140.792953,448.400000
25.086218,-140.761554,448.300000
25.771554,-140.698756,448.100000
26.473990,-140.730155,448.200000
27.182798,-140.792953,448.400000
27.867358,-140.730155,448.200000
28.564041,-140.730155,448.200000
29.260725,-140.730155,448.200000
29.950725,-140.698756,448.100000
30.647254,-140.698756,448.100000
31.343782,-140.698756,448.100000
32.040311,-140.698756,448.100000
32.736839,-140.698756,448.100000
33.455751,-140.792953,448.400000
34.152746,-140.792953,448.400000
34.849741,-140.792953,448.400000
35.562591,-140.855751,448.600000
36.292228,-140.981347,449.000000
36.990155,-140.981347,449.000000
37.688083,-140.981347,449.000000
38.394560,-141.012746,449.100000
39.075233,-140.949948,448.900000
39.764145,-140.918549,448.800000
40.452746,-140.887150,448.700000
41.131865,-140.824352,448.500000
41.810363,-140.761554,448.300000
42.488238,-140.698756,448.100000
43.165492,-140.635959,447.900000
43.881295,-140.698756,448.100000
44.557927,-140.635959,447.900000
-2.097979,-140.564611,449.900000
-1.398342,-140.533368,449.800000
-0.699171,-140.533368,449.800000
0.000000,-140.408394,449.400000
0.698705,-140.439637,449.500000
1.397098,-140.408394,449.400000
2.095181,-140.377150,449.300000
2.794197,-140.408394,449.400000
3.493523,-140.439637,449.500000
4.194093,-140.502124,449.700000
4.894197,-140.533368,449.800000
5.594611,-140.564611,449.900000
6.293938,-140.564611,449.900000
6.997927,-140.658342,450.200000
7.696010,-140.627098,450.100000
8.393782,-140.595855,450.000000
9.093264,-140.595855,450.000000
9.792746,-140.595855,450.000000
10.485233,-140.502124,449.700000
11.181762,-140.470881,449.600000
11.877979,-140.439637,449.500000
12.579482,-140.470881,449.600000
13.269482,-140.377150,449.300000
13.970984,-140.408394,449.400000
14.663005,-140.345907,449.200000
15.350984,-140.252176,448.900000
16.048756,-140.252176,448.900000
16.742798,-140.220933,448.800000
17.436528,-140.189689,448.700000
18.133990,-140.189689,448.700000
18.831451,-140.189689,448.700000
19.528912,-140.189689,448.700000
20.226373,-140.189689,448.700000
20.923834,-140.189689,448.700000
21.616477,-140.158446,448.600000
22.313782,-140.158446,448.600000
22.995699,-140.064715,448.300000
23.692539,-140.064715,448.300000
24.389378,-140.064715,448.300000
25.075026,-140.002228,448.100000
25.771554,-140.002228,448.100000
26.473990,-140.033472,448.200000
27.176736,-140.064715,448.300000
27.867358,-140.033472,448.200000
28.564041,-140.033472,448.200000
29.260725,-140.033472,448.200000
29.957409,-140.033472,448.200000
30.654093,-140.033472,448.200000
31.350777,-140.033472,448.200000
32.033161,-139.970984,448.000000
32.736839,-140.002228,448.100000
33.433368,-140.002228,448.100000
34.152746,-140.095959,448.400000
34.849741,-140.095959,448.400000
35.562591,-140.158446,448.600000
36.292228,-140.283420,449.000000
36.981917,-140.252176,448.900000
37.671295,-140.220933,448.800000
38.377461,-140.252176,448.900000
39.083938,-140.283420,449.000000
39.773005,-140.252176,448.900000
40.461762,-140.220933,448.800000
41.150207,-140.189689,448.700000
41.829016,-140.127202,448.500000
42.507202,-140.064715,448.300000
43.184767,-140.002228,448.100000
43.900881,-140.064715,448.300000
44.557927,-139.939741,447.900000
45.264249,-139.970984,448.000000
45.960622,-139.970984,448.000000
-2.798549,-139.927461,450.100000
-2.098446,-139.896373,450.000000
-1.398653,-139.865285,449.900000
-0.699171,-139.834197,449.800000
0.000000,-139.740933,449.500000
0.698705,-139.740933,449.500000
1.397098,-139.709845,449.400000
2.095181,-139.678756,449.300000
2.793575,-139.678756,449.300000
3.494301,-139.772021,449.600000
4.195959,-139.865285,449.900000
4.896373,-139.896373,450.000000
5.597098,-139.927461,450.100000
6.299534,-139.989637,450.300000
7.001036,-140.020725,450.400000
7.701140,-140.020725,450.400000
8.399378,-139.989637,450.300000
9.101347,-140.020725,450.400000
9.799275,-139.989637,450.300000
10.489896,-139.865285,449.900000
11.184249,-139.803109,449.700000
11.883264,-139.803109,449.700000
12.576684,-139.740933,449.500000
13.269482,-139.678756,449.300000
13.967876,-139.678756,449.300000
14.663005,-139.647668,449.200000
15.354404,-139.585492,449.000000
16.048756,-139.554404,448.900000
16.753990,-139.616580,449.100000
17.440415,-139.523316,448.800000
18.133990,-139.492228,448.700000
18.839845,-139.554404,448.900000
19.546321,-139.616580,449.100000
20.239896,-139.585492,449.000000
20.923834,-139.492228,448.700000
21.621295,-139.492228,448.700000
22.323731,-139.523316,448.800000
23.000829,-139.398964,448.400000
23.703109,-139.430052,448.500000
24.400259,-139.430052,448.500000
25.075026,-139.305699,448.100000
25.771554,-139.305699,448.100000
26.479896,-139.367876,448.300000
27.182798,-139.398964,448.400000
27.879793,-139.398964,448.400000
28.564041,-139.336788,448.200000
29.260725,-139.336788,448.200000
29.950725,-139.305699,448.100000
